,股票代码,股票名称,交易日期,开盘价,最高价,最低价,收盘价,成交量
0,sz000001,深发展Ａ,1991/1/3,66.4,66.4,66.4,66.4,21200
1,sz000001,深发展Ａ,1991/1/4,66.07,66.07,66.07,66.07,16800
2,sz000001,深发展Ａ,1991/1/7,66.42,66.42,66.42,66.42,40200
3,sz000001,深发展Ａ,1991/1/9,65.76,65.76,65.76,65.76,6100
4,sz000001,深发展Ａ,1991/1/10,65.43,65.43,65.43,65.43,4900
5,sz000001,深发展Ａ,1991/1/11,65.1,65.1,65.1,65.1,4800
6,sz000001,深发展Ａ,1991/1/14,64.45,64.45,64.45,64.45,11900
7,sz000001,深发展Ａ,1991/1/15,64.13,64.13,64.13,64.13,13300
8,sz000001,深发展Ａ,1991/1/16,63.81,63.81,63.81,63.81,5400
9,sz000001,深发展Ａ,1991/1/17,63.49,63.49,63.49,63.49,4400
10,sz000001,深发展Ａ,1991/1/18,63.2,63.2,63.2,63.2,3200
11,sz000001,深发展Ａ,1991/1/21,62.54,62.54,62.54,62.54,3200
12,sz000001,深发展Ａ,1991/1/22,62.23,62.23,62.23,62.23,2100
13,sz000001,深发展Ａ,1991/1/23,61.92,61.92,61.92,61.92,4500
14,sz000001,深发展Ａ,1991/1/24,61.62,61.62,61.62,61.62,2300
15,sz000001,深发展Ａ,1991/1/25,61.3,61.3,61.3,61.3,6300
16,sz000001,深发展Ａ,1991/1/29,60.39,60.39,60.39,60.39,23100
17,sz000001,深发展Ａ,1991/1/30,60.09,60.09,60.09,60.09,46100
18,sz000001,深发展Ａ,1991/1/31,60.39,60.39,60.39,60.39,165200
19,sz000001,深发展Ａ,1991/2/4,61.29,61.29,61.29,61.29,67600
20,sz000001,深发展Ａ,1991/2/5,60.6,60.6,60.6,60.6,69000
21,sz000001,深发展Ａ,1991/2/6,61.91,61.91,61.91,61.91,36900
22,sz000001,深发展Ａ,1991/2/7,62.22,62.22,62.22,62.22,32400
23,sz000001,深发展Ａ,1991/2/8,62.53,62.53,62.53,62.53,42500
24,sz000001,深发展Ａ,1991/2/11,63.15,63.15,63.15,63.15,180600
25,sz000001,深发展Ａ,1991/2/12,63.47,63.47,63.47,63.47,176800
26,sz000001,深发展Ａ,1991/2/13,63.79,63.79,63.79,63.79,66300
27,sz000001,深发展Ａ,1991/2/22,64.11,64.11,64.11,64.11,63400
28,sz000001,深发展Ａ,1991/2/25,64.75,64.75,64.75,64.75,72700
29,sz000001,深发展Ａ,1991/2/26,65.07,65.07,65.07,65.07,113400
30,sz000001,深发展Ａ,1991/2/27,65.4,65.4,65.4,65.4,59100
31,sz000001,深发展Ａ,1991/2/28,65.07,65.07,65.07,65.07,35000
32,sz000001,深发展Ａ,1991/3/1,64.74,64.74,64.74,64.74,19600
33,sz000001,深发展Ａ,1991/3/4,64.1,64.1,64.1,64.1,10200
34,sz000001,深发展Ａ,1991/3/5,63.36,63.36,63.36,63.36,8700
35,sz000001,深发展Ａ,1991/3/6,63.04,63.04,63.04,63.04,6300
36,sz000001,深发展Ａ,1991/3/7,62.72,62.72,62.72,62.72,2900
37,sz000001,深发展Ａ,1991/3/8,62.41,62.41,62.41,62.41,19500
38,sz000001,深发展Ａ,1991/3/11,61.8,61.8,61.8,61.8,18300
39,sz000001,深发展Ａ,1991/3/12,61.49,61.49,61.49,61.49,43700
40,sz000001,深发展Ａ,1991/4/3,49,49,49,49,100
41,sz000001,深发展Ａ,1991/4/4,48.76,48.76,48.76,48.76,300
42,sz000001,深发展Ａ,1991/4/5,48.52,48.52,48.52,48.52,200
43,sz000001,深发展Ａ,1991/4/8,48.04,48.04,48.04,48.04,200
44,sz000001,深发展Ａ,1991/4/9,47.8,47.8,47.8,47.8,400
45,sz000001,深发展Ａ,1991/4/10,47.56,47.56,47.56,47.56,1500
46,sz000001,深发展Ａ,1991/4/12,47.08,47.08,47.08,47.08,800
47,sz000001,深发展Ａ,1991/4/16,46.38,46.38,46.38,46.38,200
48,sz000001,深发展Ａ,1991/4/17,46.15,46.15,46.15,46.15,100
49,sz000001,深发展Ａ,1991/4/18,45.92,45.92,45.92,45.92,400
50,sz000001,深发展Ａ,1991/4/19,45.69,45.69,45.69,45.69,200
51,sz000001,深发展Ａ,1991/4/23,45,45,45,45,2800
52,sz000001,深发展Ａ,1991/4/24,44.78,44.78,44.78,44.78,1600
53,sz000001,深发展Ａ,1991/4/25,44.56,44.56,44.56,44.56,1500
54,sz000001,深发展Ａ,1991/4/26,44.34,44.34,44.34,44.34,800
55,sz000001,深发展Ａ,1991/4/29,43.9,43.9,43.9,43.9,400
56,sz000001,深发展Ａ,1991/4/30,43.68,43.68,43.68,43.68,200
57,sz000001,深发展Ａ,1991/5/2,43.46,43.46,43.46,43.46,200
58,sz000001,深发展Ａ,1991/5/3,43.24,43.24,43.24,43.24,300
59,sz000001,深发展Ａ,1991/5/7,42.59,42.59,42.59,42.59,200
60,sz000001,深发展Ａ,1991/5/8,42.38,42.38,42.38,42.38,10900
61,sz000001,深发展Ａ,1991/5/9,42.17,42.17,42.17,42.17,1500
62,sz000001,深发展Ａ,1991/5/10,41.96,41.96,41.96,41.96,2000
63,sz000001,深发展Ａ,1991/5/13,41.54,41.54,41.54,41.54,1900
64,sz000001,深发展Ａ,1991/5/14,41.33,41.33,41.33,41.33,5500
65,sz000001,深发展Ａ,1991/5/15,41.12,41.12,41.12,41.12,38700
66,sz000001,深发展Ａ,1991/5/16,40.91,40.91,40.91,40.91,49300
67,sz000001,深发展Ａ,1991/5/17,40.71,40.71,40.71,40.71,41900
68,sz000001,深发展Ａ,1991/5/20,40.31,40.31,40.31,40.31,5100
69,sz000001,深发展Ａ,1991/5/21,40.11,40.11,40.11,40.11,6300
70,sz000001,深发展Ａ,1991/5/22,39.91,39.91,39.91,39.91,4300
71,sz000001,深发展Ａ,1991/5/23,39.71,39.71,39.71,39.71,1700
72,sz000001,深发展Ａ,1991/5/24,39.51,39.51,39.51,39.51,300
73,sz000001,深发展Ａ,1991/5/27,39.11,39.11,39.11,39.11,500
74,sz000001,深发展Ａ,1991/5/28,38.91,38.91,38.91,38.91,300
75,sz000001,深发展Ａ,1991/5/29,38.72,38.72,38.72,38.72,3600
76,sz000001,深发展Ａ,1991/5/30,38.53,38.53,38.53,38.53,1400
77,sz000001,深发展Ａ,1991/5/31,38.34,38.34,38.34,38.34,100
78,sz000001,深发展Ａ,1991/6/3,37.96,37.96,37.96,37.96,700
79,sz000001,深发展Ａ,1991/6/4,37.77,37.77,37.77,37.77,100
80,sz000001,深发展Ａ,1991/6/6,37.39,37.39,37.39,37.39,400
81,sz000001,深发展Ａ,1991/6/7,37.2,37.2,37.2,37.2,100
82,sz000001,深发展Ａ,1991/6/10,36.82,36.82,36.82,36.82,1500
83,sz000001,深发展Ａ,1991/6/11,36.64,36.64,36.64,36.64,1200
84,sz000001,深发展Ａ,1991/6/12,36.46,36.46,36.46,36.46,1500
85,sz000001,深发展Ａ,1991/6/13,36.28,36.28,36.28,36.28,3400
86,sz000001,深发展Ａ,1991/6/14,36.1,36.1,36.1,36.1,700
87,sz000001,深发展Ａ,1991/6/17,35.74,35.74,35.74,35.74,500
88,sz000001,深发展Ａ,1991/6/18,35.56,35.56,35.56,35.56,1000
89,sz000001,深发展Ａ,1991/6/19,35.38,35.38,35.38,35.38,5700
90,sz000001,深发展Ａ,1991/6/20,35.2,35.2,35.2,35.2,3000
91,sz000001,深发展Ａ,1991/6/21,35.02,35.02,35.02,35.02,200
92,sz000001,深发展Ａ,1991/6/24,34.67,34.67,34.67,34.67,2500
93,sz000001,深发展Ａ,1991/6/25,34.5,34.5,34.5,34.5,1200
94,sz000001,深发展Ａ,1991/6/26,34.33,34.33,34.33,34.33,400
95,sz000001,深发展Ａ,1991/6/27,34.16,34.16,34.16,34.16,400
96,sz000001,深发展Ａ,1991/6/28,33.99,33.99,33.99,33.99,200
97,sz000001,深发展Ａ,1991/7/1,33.65,33.65,33.65,33.65,200
98,sz000001,深发展Ａ,1991/7/2,33.48,33.48,33.48,33.48,200
99,sz000001,深发展Ａ,1991/7/4,33.14,33.14,33.14,33.14,1100
100,sz000001,深发展Ａ,1991/7/5,32.97,32.97,32.97,32.97,200
101,sz000001,深发展Ａ,1991/7/8,32.65,32.65,32.65,32.65,900
102,sz000001,深发展Ａ,1991/7/10,32.33,32.33,32.33,32.33,600
103,sz000001,深发展Ａ,1991/7/11,32.17,32.17,32.17,32.17,100
104,sz000001,深发展Ａ,1991/7/15,31.69,31.69,31.69,31.69,400
105,sz000001,深发展Ａ,1991/7/19,31.05,31.05,31.05,31.05,100
